,Car Name,Car Model,Year,Mileage,Fuel Type,Owner,Price
53,MAHINDRA BOLERO,SLE,2008,60000,Diesel,3rd Owner,₹4.5L
54,MARUTI SUZUKI EECO,7 STR,2014,50000,Petrol,3rd Owner,₹6L
55,MAHINDRA Bolero Power+,ZLX BS4 Power +,2017,40000,Diesel,1st Owner,₹5L
56,TATA MOTORS SUMO GOLD,EX BS-III,2019,60000,Diesel,1st Owner,₹3.5L
57,MAHINDRA BOLERO,ZLX BS III,2015,50000,Diesel,2nd Owner,₹5L
58,TATA MOTORS TIAGO,XZ PETROL,2019,87000,Petrol,2nd Owner,₹5L
59,Renault Duster [2015-2016],110 PS RxL,2016,80000,Diesel,1st Owner,₹5L
60,NISSAN Terrano [2013-2017],XL (D),2014,65000,Diesel,1st Owner,₹5.6L
61,MARUTI SUZUKI SWIFT,ZXI,2014,70000,Petrol,2nd Owner,₹3L
62,TOYOTA FORTUNER,3.0 LIMITED EDITION,2009,60000,Diesel,2nd Owner,₹9.8L
63,NISSAN Terrano [2013-2017],XVD Premium AMT,2017,55000,Diesel,2 Owner,₹8L
64,TOYOTA FORTUNER,3.0 LIMITED EDITION,2013,70000,Diesel,1 Owner,₹10L
65,HYUNDAI i20 [2010-2012],Asta 1.2 with AVN,2016,110000,Petrol,2 Owner,₹6.75L
66,MARUTI SUZUKI ERTIGA,VDI,2018,75000,Diesel,2 Owner,₹7.1L
67,HONDA AMAZE,1.2 EXMT I VTEC,2017,190000,Petrol,3 Owner,₹3.5L
68,HYUNDAI CRETA,1.4 BASE,2020,72616,Petrol,2 Owner,₹1.45L
69,MARUTI SUZUKI WAGON R,VXI 1.2L (O),2013,40000,Petrol,2 Owner,₹5.5L
70,MARUTI SUZUKI ERTIGA,ERTIGA SMART HYBRID VXI,2022,34000,Petrol,1 Owner,₹12L
71,MARUTI SUZUKI ALTO,K10 VXI,2013,56000,Petrol,1 Owner,₹3.6L
72,TOYOTA Etios Liva [2014-2016],G,2015,90998,Petrol,1 Owner,₹4.75L
73,HYUNDAI VERNA,VTVT 1.6,2011,76888,Petrol,3 Owner,₹3.5L
74,MARUTI SUZUKI ERTIGA,ZXI,2014,80288,Petrol,3 Owner,₹5.2L
75,MARUTI SUZUKI BALENO,1 2 DELTA,2019,57722,Petrol,1 Owner,₹5.9L
76,HYUNDAI CRETA,1.6 SX PLUS PETROL,2015,87773,Petrol,2 Owner,₹12L
77,MARUTI SUZUKI SWIFT,LDI,2010,56000,Diesel,1 Owner,₹5L
78,MARUTI SUZUKI BALENO,1 2 ALPHA,2018,45000,Diesel,1 Owner,₹6.5L
